"구분별(1)","빈도종류(1)",2022,2022,2022,2022,2022,2022
"구분별(1)","빈도종류(1)",없음 (%),1-2회 (%),3-6회 (%),3회 이상 (%),7회 이상 (%),평균 (회)
"서울시","전체 혼밥 빈도",16.9,20.9,36.1,-,26.0,4.5
"서울시","집에서 혼밥 빈도",23.4,22.7,34.9,-,19.0,3.6
"서울시","집 밖에서 혼밥 빈도",65.1,21.9,-,13.0,-,0.9
